model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
Mistral,2,S3,2,0,0,0.39,0.218,0.39,0.279,0.0034,0.000833
Mistral,2,S_i,2,0,0,0.55,0.581,0.55,0.467,0.003,0.007478
Mistral,2,S_i,3,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,S_i,3,0,0,0.51,0.507,0.51,0.431,0.0034,0.005388
Mistral,2,S_i,3,1,1,0.51,0.453,0.51,0.382,0.0004,0.001732
Mistral,2,S_i,2,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,S_i,1,1,0,0.48,0.245,0.48,0.324,0.0006,0.000127
Mistral,2,S_i,3,0,1,0.48,0.388,0.48,0.398,0.0026,0.007775
Mistral,2,S_i,2,0,1,0.47,0.399,0.47,0.371,0.0016,0.000925
Mistral,2,S_i,2,1,1,0.47,0.242,0.47,0.32,0.0006,0.000127
Mistral,2,S_i,1,0,0,0.43,0.23,0.43,0.3,0.0026,0.000638
Mistral,2,S_i,1,1,1,0.43,0.231,0.43,0.3,0.0016,0.000366
Mistral,2,S_i,1,0,1,0.41,0.297,0.41,0.323,0.0024,0.001021
Mistral,2,Sing,2,0,0,0.66,0.799,0.66,0.61,0.0034,0.008273
Mistral,2,Sing,2,0,1,0.59,0.775,0.59,0.506,0.0004,0.001241
Mistral,2,Sing,1,0,1,0.57,0.669,0.57,0.468,0.0016,0.005704
Mistral,2,Sing,1,0,0,0.55,0.564,0.55,0.428,0.003,0.009604
Mistral,2,Sing,3,0,1,0.54,0.561,0.54,0.446,0.0004,0.003577
Mistral,2,Sing,3,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,Sing,1,1,1,0.53,0.492,0.53,0.415,0.0006,0.004838
Mistral,2,Sing,2,1,0,0.53,0.525,0.53,0.405,0.0006,0.003783
Mistral,2,Sing,2,1,1,0.53,0.558,0.53,0.43,0.0016,0.003847
Mistral,2,Sing,3,0,0,0.53,0.558,0.53,0.395,0.0006,0.002517
Mistral,2,Sing,3,1,1,0.53,0.575,0.53,0.419,0.0006,0.00255
Mistral,2,Sing,1,1,0,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,2,Sinstr,1,1,0,0.47,0.242,0.47,0.32,0.0006,0.000127
Mistral,2,Sinstr,4,1,1,0.47,0.41,0.47,0.405,0.0006,0.001484
Mistral,2,Sinstr,2,1,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,2,Sinstr,2,1,1,0.46,0.397,0.46,0.367,0.0014,0.001359
Mistral,2,Sinstr,2,0,0,0.45,0.419,0.45,0.418,0.003,0.006686
Mistral,2,Sinstr,4,0,0,0.45,0.411,0.45,0.419,0.001,0.004908
Mistral,2,Sinstr,4,1,0,0.44,0.233,0.44,0.305,0.0024,0.000544
Mistral,2,Sinstr,1,1,1,0.43,0.231,0.43,0.3,0.0016,0.000418
Mistral,2,Sinstr,4,0,1,0.43,0.395,0.43,0.397,0.0016,0.004824
Mistral,2,Sinstr,3,0,0,0.41,0.382,0.41,0.373,0.0014,0.001709
Mistral,2,Sinstr,3,0,1,0.41,0.348,0.41,0.353,0.0024,0.001303
Mistral,2,Sinstr,3,1,1,0.41,0.225,0.41,0.291,0.0004,9.7e-05
Mistral,2,Sinstr,2,0,1,0.4,0.314,0.4,0.328,0.001,0.000249
Mistral,2,Sinstr,3,1,0,0.4,0.221,0.4,0.284,0.004,0.000993
Mistral,2,Sinstr,1,0,1,0.38,0.24,0.38,0.286,0.0006,0.000884
Mistral,2,Sinstr,1,0,0,0.33,0.198,0.33,0.247,0.0016,0.000488
Mistral,2,Sloc,1,0,1,0.68,0.807,0.68,0.636,0.0046,0.010623
Mistral,2,Sloc,1,0,0,0.62,0.785,0.62,0.553,0.0016,0.004311
Mistral,2,Sloc,2,0,0,0.58,0.672,0.58,0.486,0.0016,0.005805
Mistral,2,Sloc,3,0,0,0.58,0.772,0.58,0.489,0.0006,0.001862
Mistral,2,Sloc,2,0,1,0.57,0.67,0.57,0.466,0.0026,0.008207
Mistral,2,Sloc,4,0,1,0.56,0.567,0.56,0.445,0.0034,0.011123
Mistral,2,Sloc,2,1,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,Sloc,3,0,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,Sloc,3,1,1,0.54,0.561,0.54,0.412,0.0014,0.005201
Mistral,2,Sloc,4,0,0,0.53,0.558,0.53,0.395,0.0006,0.002517
Mistral,2,Sloc,1,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sloc,1,1,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sloc,2,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sloc,3,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sloc,4,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sloc,4,1,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sres,2,0,0,0.65,0.694,0.65,0.622,0.004,0.006967
Mistral,2,Sres,2,0,1,0.64,0.707,0.64,0.608,0.0014,0.003434
Mistral,2,Sres,1,0,1,0.59,0.645,0.59,0.546,0.0004,0.000859
Mistral,2,Sres,2,1,1,0.58,0.666,0.58,0.521,0.0006,0.002616
Mistral,2,Sres,1,1,0,0.57,0.687,0.57,0.496,0.0006,0.003129
Mistral,2,Sres,1,0,0,0.56,0.61,0.56,0.502,0.0004,0.000859
Mistral,2,Sres,1,1,1,0.55,0.57,0.55,0.512,0.001,0.001922
Mistral,2,Sres,3,0,0,0.55,0.541,0.55,0.479,0.004,0.010771
Mistral,2,Sres,2,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,Sres,3,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sres,4,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Sres,3,0,1,0.48,0.428,0.48,0.39,0.0016,0.003314
Mistral,2,Sres,4,0,1,0.47,0.408,0.47,0.382,0.0006,0.002101
Mistral,2,Sres,3,1,1,0.46,0.389,0.46,0.376,0.0004,0.001978
Mistral,2,Sres,4,1,1,0.46,0.289,0.46,0.329,0.0004,0.001426
Mistral,2,Sres,4,0,0,0.42,0.228,0.42,0.296,0.0006,0.000146
Mistral,2,Subst_sens_opposé,1,1,0,0.47,0.418,0.47,0.418,0.0016,0.00529
Mistral,2,Subst_sens_opposé,2,1,0,0.39,0.218,0.39,0.279,0.0034,0.000833
Mistral,2,Subst_sens_opposé,1,0,0,0.38,0.375,0.38,0.37,0.0026,0.001678
Mistral,2,Subst_sens_opposé,1,0,1,0.36,0.355,0.36,0.354,0.0004,0.000113
Mistral,2,Subst_sens_opposé,1,1,1,0.31,0.305,0.31,0.304,0.0034,0.002654
Mistral,2,Subst_sens_opposé,2,0,0,0.27,0.221,0.27,0.238,0.0016,0.000113
Mistral,2,Subst_sens_opposé,2,0,1,0.21,0.193,0.21,0.2,0.0004,0.000711
Mistral,2,Subst_sens_opposé,2,1,1,0.17,0.14,0.17,0.152,0.0026,0.001622
Mistral,2,Subst_sens_similaire,1,1,1,0.67,0.804,0.67,0.621,0.0056,0.01207
Mistral,2,Subst_sens_similaire,1,1,0,0.63,0.689,0.63,0.56,0.0056,0.015745
Mistral,2,Subst_sens_similaire,1,0,1,0.62,0.659,0.62,0.601,0.0046,0.006358
Mistral,2,Subst_sens_similaire,1,0,0,0.57,0.564,0.57,0.551,0.0036,0.007938
Mistral,2,Subst_sens_similaire,2,1,1,0.51,0.353,0.51,0.354,0.0004,0.001678
Mistral,2,Subst_sens_similaire,2,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Subst_sens_similaire,2,0,1,0.45,0.369,0.45,0.361,0.0,0.000633
Mistral,2,Subst_sens_similaire,2,0,0,0.43,0.297,0.43,0.326,0.0006,0.00159
Mistral,2,Substitutive,1,1,0,0.47,0.242,0.47,0.319,0.0016,0.00036
Mistral,2,Substitutive,1,1,1,0.46,0.372,0.46,0.365,0.0004,0.000255
Mistral,2,Substitutive,1,0,1,0.45,0.366,0.45,0.367,0.001,0.00081
Mistral,2,Substitutive,1,0,0,0.43,0.337,0.43,0.346,0.0016,0.000197
Mistral,2,Syn,2,1,0,0.53,0.608,0.53,0.409,0.0006,0.001578
Mistral,2,Syn,3,0,1,0.51,0.47,0.51,0.434,0.0004,0.002757
Mistral,2,Syn,1,1,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Syn,2,0,0,0.5,0.45,0.5,0.434,0.001,0.003701
Mistral,2,Syn,2,0,1,0.5,0.539,0.5,0.44,0.001,0.000213
Mistral,2,Syn,3,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Syn,1,0,1,0.48,0.419,0.48,0.378,0.0016,0.001107
Mistral,2,Syn,3,0,0,0.48,0.384,0.48,0.382,0.0006,0.00274
Mistral,2,Syn,1,0,0,0.47,0.391,0.47,0.372,0.0006,0.000514
Mistral,2,Syn,1,1,0,0.47,0.242,0.47,0.32,0.0006,0.000127
Mistral,2,Syn,2,1,1,0.47,0.408,0.47,0.373,0.0006,0.001189
Mistral,2,Syn,3,1,1,0.44,0.3,0.44,0.33,0.0014,0.001534
Mistral,2,Unité,1,1,1,0.58,0.672,0.58,0.486,0.0016,0.005805
Mistral,2,Unité,1,0,0,0.56,0.567,0.56,0.448,0.0024,0.008707
Mistral,2,Unité,1,0,1,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,2,Unité,2,0,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Unité,2,0,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Unité,2,1,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Unité,2,1,0,0.49,0.247,0.49,0.329,0.0004,8.5e-05
Mistral,2,Unité,1,1,0,0.48,0.245,0.48,0.324,0.0006,0.000127
Mistral,2,V0,1,0,1,0.67,0.738,0.67,0.643,0.0016,0.004083
Mistral,2,V0,1,0,0,0.65,0.719,0.65,0.622,0.0,0.000104
Mistral,2,V0,3,0,1,0.64,0.72,0.64,0.601,0.0024,0.007354
Mistral,2,V0,2,0,1,0.62,0.704,0.62,0.575,0.0016,0.005523
Mistral,2,V0,3,0,0,0.58,0.659,0.58,0.525,0.0006,0.003062
Mistral,2,V0,3,1,1,0.58,0.666,0.58,0.521,0.0006,0.002616
Mistral,2,V0,2,0,0,0.56,0.539,0.56,0.499,0.0014,0.007175
Mistral,2,V0,3,1,0,0.55,0.763,0.55,0.436,0.0,0.0
Mistral,2,V0,2,1,1,0.53,0.477,0.53,0.446,0.0046,0.012939
Mistral,2,V0,2,1,0,0.49,0.297,0.49,0.343,0.0004,0.001032
Mistral,2,V0,1,1,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,2,V0,1,1,1,0.45,0.237,0.45,0.31,0.0,0.0
Mistral,2,V_collocation_ajout_de_sens,2,0,1,0.46,0.4,0.46,0.397,0.0014,0.001588
Mistral,2,V_collocation_ajout_de_sens,1,1,1,0.45,0.237,0.45,0.31,0.0,0.0
Mistral,2,V_collocation_ajout_de_sens,1,0,0,0.44,0.324,0.44,0.341,0.0014,0.001038
Mistral,2,V_collocation_ajout_de_sens,1,0,1,0.44,0.3,0.44,0.33,0.0014,0.001534
Mistral,2,V_collocation_ajout_de_sens,2,1,1,0.42,0.285,0.42,0.319,0.0006,0.00114
Mistral,2,V_collocation_ajout_de_sens,2,0,0,0.41,0.337,0.41,0.344,0.0004,0.001648
Mistral,2,V_collocation_ajout_de_sens,1,1,0,0.4,0.222,0.4,0.285,0.001,0.000261
Mistral,2,V_collocation_ajout_de_sens,2,1,0,0.37,0.211,0.37,0.268,0.0046,0.001287
Mistral,2,V_dériv_sens_vide,1,1,1,0.58,0.672,0.58,0.486,0.0016,0.005805
Mistral,2,V_dériv_sens_vide,2,1,0,0.53,0.558,0.53,0.395,0.0006,0.002517
Mistral,2,V_dériv_sens_vide,2,1,1,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,2,V_dériv_sens_vide,1,0,1,0.51,0.422,0.51,0.431,0.0014,0.00884
Mistral,2,V_dériv_sens_vide,1,1,0,0.51,0.353,0.51,0.354,0.0004,0.001678
Mistral,2,V_dériv_sens_vide,1,0,0,0.48,0.423,0.48,0.424,0.0006,0.002907
Mistral,2,V_dériv_sens_vide,2,0,0,0.46,0.401,0.46,0.392,0.0004,0.002272
Mistral,2,V_dériv_sens_vide,2,0,1,0.45,0.309,0.45,0.343,0.001,0.00206
Mistral,2,Ver,1,0,1,0.56,0.667,0.56,0.484,0.0004,0.000789
Mistral,2,Ver,1,0,0,0.55,0.663,0.55,0.433,0.001,0.00364
Mistral,2,Ver,3,0,0,0.53,0.558,0.53,0.395,0.0006,0.002517
Mistral,2,Ver,3,0,1,0.52,0.522,0.52,0.422,0.0006,0.002682
Mistral,2,Ver,3,1,0,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,2,Ver,3,1,1,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,2,Ver,1,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Ver,1,1,1,0.49,0.247,0.49,0.329,0.0004,8.5e-05
Mistral,2,Ver,2,1,0,0.48,0.245,0.48,0.324,0.0006,0.000127
Mistral,2,Ver,2,0,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,2,Ver,2,1,1,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,2,Ver,2,0,1,0.44,0.234,0.44,0.305,0.0014,0.000321
Mistral,2,Verbe_support,1,0,0,0.59,0.675,0.59,0.501,0.0024,0.00794
Mistral,2,Verbe_support,1,0,1,0.59,0.632,0.59,0.514,0.0024,0.009537
Mistral,2,Verbe_support,1,1,0,0.53,0.608,0.53,0.409,0.0006,0.001578
Mistral,2,Verbe_support,1,1,1,0.53,0.542,0.53,0.439,0.0006,0.00319
Mistral,2,Verbe_support,2,0,1,0.53,0.458,0.53,0.392,0.0016,0.005922
Mistral,2,Verbe_support,2,0,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Verbe_support,2,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Verbe_support,2,1,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Verbes_causatifs,3,0,0,0.62,0.668,0.62,0.594,0.0016,0.00346
Mistral,2,Verbes_causatifs,2,0,1,0.61,0.566,0.61,0.564,0.0084,0.021503
Mistral,2,Verbes_causatifs,2,0,0,0.58,0.551,0.58,0.528,0.0026,0.011011
Mistral,2,Verbes_causatifs,3,0,1,0.57,0.618,0.57,0.537,0.0016,0.004626
Mistral,2,Verbes_causatifs,1,1,1,0.55,0.564,0.55,0.464,0.001,0.004452
Mistral,2,Verbes_causatifs,1,1,0,0.53,0.608,0.53,0.409,0.0006,0.001578
Mistral,2,Verbes_causatifs,3,1,0,0.53,0.608,0.53,0.409,0.0006,0.001578
Mistral,2,Verbes_causatifs,3,1,1,0.5,0.484,0.5,0.444,0.003,0.003984
Mistral,2,Verbes_causatifs,2,1,0,0.49,0.297,0.49,0.343,0.0004,0.001032
Mistral,2,Verbes_causatifs,1,0,1,0.47,0.358,0.47,0.359,0.0006,0.001105
Mistral,2,Verbes_causatifs,2,1,1,0.47,0.41,0.47,0.405,0.0006,0.001484
Mistral,2,Verbes_causatifs,1,0,0,0.46,0.347,0.46,0.352,0.0014,0.001089
Mistral,2,Verbes_de_phase,3,0,0,0.59,0.581,0.59,0.527,0.0034,0.012015
Mistral,2,Verbes_de_phase,1,0,1,0.58,0.561,0.58,0.51,0.0046,0.01441
Mistral,2,Verbes_de_phase,2,0,0,0.57,0.646,0.57,0.504,0.0016,0.004813
Mistral,2,Verbes_de_phase,2,0,1,0.56,0.635,0.56,0.49,0.0014,0.004028
Mistral,2,Verbes_de_phase,3,0,1,0.54,0.52,0.54,0.455,0.0014,0.006103
Mistral,2,Verbes_de_phase,2,1,1,0.53,0.494,0.53,0.472,0.0006,0.005278
Mistral,2,Verbes_de_phase,1,0,0,0.52,0.572,0.52,0.427,0.0006,0.001036
Mistral,2,Verbes_de_phase,2,1,0,0.51,0.463,0.51,0.441,0.0004,0.003621
Mistral,2,Verbes_de_phase,1,1,1,0.46,0.272,0.46,0.328,0.0004,0.000601
Mistral,2,Verbes_de_phase,1,1,0,0.45,0.286,0.45,0.333,0.002,0.003761
Mistral,2,Verbes_de_phase,3,1,1,0.43,0.231,0.43,0.3,0.0016,0.000366
Mistral,2,Verbes_de_phase,3,1,0,0.42,0.228,0.42,0.296,0.0006,0.000146
Mistral,2,Vreal,1,0,0,0.6,0.705,0.6,0.544,0.001,0.003159
Mistral,2,Vreal,1,0,1,0.6,0.68,0.6,0.51,0.007,0.017397
Mistral,2,Vreal,2,0,1,0.59,0.652,0.59,0.506,0.0034,0.011163
Mistral,2,Vreal,2,0,0,0.56,0.552,0.56,0.486,0.0014,0.006878
Mistral,2,Vreal,3,0,1,0.55,0.564,0.55,0.43,0.002,0.007264
Mistral,2,Vreal,3,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,Vreal,3,1,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,2,Vreal,2,1,1,0.52,0.455,0.52,0.374,0.0006,0.002517
Mistral,2,Vreal,1,1,0,0.51,0.403,0.51,0.368,0.0004,0.001909
Mistral,2,Vreal,2,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,2,Vreal,1,1,1,0.49,0.397,0.49,0.372,0.0004,0.001703
Mistral,2,Vreal,3,0,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,6,A0,2,0,1,0.58,0.672,0.58,0.486,0.0016,0.005805
Mistral,6,A0,2,0,0,0.57,0.669,0.57,0.468,0.0016,0.005704
Mistral,6,A0,1,0,1,0.55,0.763,0.55,0.436,0.0,0.0
Mistral,6,A0,1,1,1,0.55,0.763,0.55,0.436,0.0,0.0
Mistral,6,A0,1,0,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,A0,1,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,A0,2,1,1,0.53,0.558,0.53,0.395,0.0006,0.002517
Mistral,6,A0,2,1,0,0.51,0.353,0.51,0.354,0.0004,0.001678
Mistral,6,A1,2,0,0,0.64,0.693,0.64,0.575,0.0054,0.015589
Mistral,6,A1,1,0,1,0.62,0.656,0.62,0.551,0.0056,0.017224
Mistral,6,A1,2,0,1,0.6,0.571,0.6,0.554,0.003,0.012686
Mistral,6,A1,2,1,1,0.6,0.678,0.6,0.552,0.001,0.002143
Mistral,6,A1,1,0,0,0.59,0.576,0.59,0.494,0.0054,0.017213
Mistral,6,A1,2,1,0,0.59,0.775,0.59,0.506,0.0004,0.001241
Mistral,6,A1,4,0,1,0.57,0.541,0.57,0.528,0.0046,0.013309
Mistral,6,A1,4,0,0,0.55,0.591,0.55,0.46,0.001,0.005009
Mistral,6,A1,1,1,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,A1,3,1,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,A1,4,1,0,0.53,0.558,0.53,0.395,0.0006,0.002517
Mistral,6,A1,3,0,0,0.52,0.555,0.52,0.403,0.0006,0.001401
Mistral,6,A1,3,0,1,0.52,0.483,0.52,0.448,0.0006,0.003976
Mistral,6,A1,1,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,A1,3,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,A1,4,1,1,0.5,0.35,0.5,0.362,0.0,0.001224
Mistral,6,A2,3,0,1,0.54,0.491,0.54,0.479,0.0034,0.011172
Mistral,6,A2,3,1,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,A2,1,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,A2,3,0,0,0.5,0.45,0.5,0.39,0.0,0.000816
Mistral,6,A2,3,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,A2,4,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,A2,1,1,1,0.49,0.413,0.49,0.37,0.0014,0.001406
Mistral,6,A2,4,1,1,0.49,0.247,0.49,0.329,0.0004,8.5e-05
Mistral,6,A2,1,0,0,0.48,0.345,0.48,0.353,0.0006,0.001877
Mistral,6,A2,4,0,1,0.47,0.375,0.47,0.39,0.0016,0.006054
Mistral,6,A2,1,0,1,0.45,0.303,0.45,0.335,0.001,0.001192
Mistral,6,A2,2,1,0,0.45,0.237,0.45,0.31,0.0,0.0
Mistral,6,A2,2,1,1,0.45,0.237,0.45,0.31,0.0,0.0
Mistral,6,A2,2,0,0,0.44,0.234,0.44,0.305,0.0004,9.7e-05
Mistral,6,A2,2,0,1,0.44,0.365,0.44,0.354,0.0014,0.001042
Mistral,6,A2,4,0,0,0.44,0.234,0.44,0.305,0.0014,0.000321
Mistral,6,A_dériv_ajout_de_sens,2,1,1,0.58,0.672,0.58,0.486,0.0016,0.005805
Mistral,6,A_dériv_ajout_de_sens,2,0,0,0.56,0.6,0.56,0.471,0.0014,0.005011
Mistral,6,A_dériv_ajout_de_sens,2,1,0,0.56,0.567,0.56,0.448,0.0024,0.008707
Mistral,6,A_dériv_ajout_de_sens,1,0,0,0.51,0.503,0.51,0.397,0.0004,0.001147
Mistral,6,A_dériv_ajout_de_sens,1,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,A_dériv_ajout_de_sens,2,0,1,0.49,0.347,0.49,0.376,0.0004,0.003813
Mistral,6,A_dériv_ajout_de_sens,1,1,1,0.48,0.245,0.48,0.324,0.0006,0.000127
Mistral,6,A_dériv_ajout_de_sens,1,0,1,0.47,0.308,0.47,0.345,0.0006,0.000613
Mistral,6,A_dériv_qualificative,1,0,1,0.64,0.668,0.64,0.607,0.0074,0.014077
Mistral,6,A_dériv_qualificative,2,0,1,0.57,0.565,0.57,0.507,0.0066,0.014979
Mistral,6,A_dériv_qualificative,3,0,0,0.57,0.613,0.57,0.515,0.0016,0.003824
Mistral,6,A_dériv_qualificative,3,0,1,0.56,0.589,0.56,0.513,0.0014,0.003263
Mistral,6,A_dériv_qualificative,1,0,0,0.55,0.608,0.55,0.478,0.002,0.006081
Mistral,6,A_dériv_qualificative,1,1,0,0.52,0.605,0.52,0.426,0.0006,0.000339
Mistral,6,A_dériv_qualificative,1,1,1,0.52,0.539,0.52,0.456,0.0006,0.000926
Mistral,6,A_dériv_qualificative,2,0,0,0.5,0.45,0.5,0.39,0.0,0.000816
Mistral,6,A_dériv_qualificative,3,1,1,0.49,0.48,0.49,0.435,0.0004,0.000957
Mistral,6,A_dériv_qualificative,3,1,0,0.48,0.411,0.48,0.396,0.0006,0.002183
Mistral,6,A_dériv_qualificative,2,1,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,6,A_dériv_qualificative,2,1,1,0.44,0.234,0.44,0.305,0.0004,9.7e-05
Mistral,6,A_i,3,0,0,0.62,0.685,0.62,0.548,0.0036,0.011475
Mistral,6,A_i,3,1,1,0.59,0.581,0.59,0.527,0.0034,0.012015
Mistral,6,A_i,3,0,1,0.56,0.54,0.56,0.495,0.0024,0.009117
Mistral,6,A_i,1,1,1,0.53,0.526,0.53,0.452,0.0016,0.005003
Mistral,6,A_i,3,1,0,0.52,0.456,0.52,0.421,0.0016,0.006614
Mistral,6,A_i,1,0,0,0.51,0.37,0.51,0.378,0.0004,0.003724
Mistral,6,A_i,1,0,1,0.5,0.45,0.5,0.415,0.0,0.002452
Mistral,6,A_i,2,0,0,0.47,0.292,0.47,0.334,0.0006,0.001337
Mistral,6,A_i,2,0,1,0.46,0.351,0.46,0.369,0.0004,0.001732
Mistral,6,A_i,2,1,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,6,A_i,1,1,0,0.45,0.237,0.45,0.31,0.0,0.0
Mistral,6,A_i,2,1,1,0.45,0.237,0.45,0.31,0.0,0.0
Mistral,6,Able1,2,0,1,0.63,0.712,0.63,0.587,0.0026,0.007366
Mistral,6,Able1,4,0,1,0.61,0.596,0.61,0.55,0.0074,0.018922
Mistral,6,Able1,1,0,1,0.6,0.592,0.6,0.542,0.003,0.011711
Mistral,6,Able1,2,0,0,0.6,0.679,0.6,0.517,0.003,0.009597
Mistral,6,Able1,2,1,1,0.58,0.663,0.58,0.519,0.0016,0.004453
Mistral,6,Able1,4,0,0,0.57,0.645,0.57,0.475,0.0016,0.006735
Mistral,6,Able1,1,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,Able1,3,0,1,0.54,0.51,0.54,0.476,0.0004,0.005257
Mistral,6,Able1,1,1,1,0.53,0.509,0.53,0.44,0.0006,0.003859
Mistral,6,Able1,2,1,0,0.53,0.608,0.53,0.409,0.0006,0.001578
Mistral,6,Able1,4,1,0,0.53,0.509,0.53,0.44,0.0006,0.003859
Mistral,6,Able1,4,1,1,0.53,0.526,0.53,0.452,0.0016,0.005003
Mistral,6,Able1,1,0,0,0.51,0.403,0.51,0.368,0.0004,0.001909
Mistral,6,Able1,3,0,0,0.51,0.437,0.51,0.405,0.0014,0.00552
Mistral,6,Able1,5,0,1,0.51,0.469,0.51,0.458,0.0014,0.007049
Mistral,6,Able1,5,0,0,0.49,0.43,0.49,0.384,0.0004,0.000795
Mistral,6,Able1,5,1,0,0.49,0.447,0.49,0.386,0.0004,0.001426
Mistral,6,Able1,3,1,1,0.47,0.342,0.47,0.357,0.0006,0.003512
Mistral,6,Able1,5,1,1,0.47,0.449,0.47,0.386,0.0016,0.000655
Mistral,6,Able1,3,1,0,0.46,0.239,0.46,0.315,0.0004,8.5e-05
Mistral,6,Able2,2,0,1,0.77,0.847,0.77,0.749,0.0076,0.013138
Mistral,6,Able2,2,0,0,0.72,0.825,0.72,0.685,0.0086,0.017488
Mistral,6,Able2,5,0,1,0.65,0.795,0.65,0.6,0.001,0.002151
Mistral,6,Able2,5,0,0,0.64,0.792,0.64,0.582,0.0024,0.005152
Mistral,6,Able2,1,0,1,0.61,0.782,0.61,0.535,0.0024,0.006566
Mistral,6,Able2,2,1,1,0.6,0.682,0.6,0.546,0.003,0.007211
Mistral,6,Able2,4,0,0,0.59,0.775,0.59,0.506,0.0004,0.001241
Mistral,6,Able2,4,0,1,0.59,0.775,0.59,0.506,0.0004,0.001241
Mistral,6,Able2,4,1,1,0.59,0.775,0.59,0.504,0.0014,0.003908
Mistral,6,Able2,4,1,0,0.58,0.673,0.58,0.484,0.0026,0.008384
Mistral,6,Able2,5,1,1,0.58,0.672,0.58,0.486,0.0016,0.005805
Mistral,6,Able2,3,0,0,0.57,0.67,0.57,0.466,0.0026,0.008207
Mistral,6,Able2,3,0,1,0.57,0.669,0.57,0.468,0.0016,0.005704
Mistral,6,Able2,5,1,0,0.57,0.669,0.57,0.468,0.0016,0.005704
Mistral,6,Able2,1,0,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,Able2,1,1,0,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,Able2,1,1,1,0.54,0.661,0.54,0.415,0.0004,0.001678
Mistral,6,Able2,2,1,0,0.52,0.505,0.52,0.389,0.0006,0.002163
Mistral,6,Able2,3,1,0,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,Able2,3,1,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,Able_i,1,0,0,0.85,0.892,0.85,0.839,0.01,0.014194
Mistral,6,Able_i,1,0,1,0.83,0.879,0.83,0.818,0.0086,0.012355
